"";"Motif1_50";"Motif2_50";"Motif3_50";"Motif1_100";"Motif2_100";"Motif3_100";"Motif1_200";"Motif2_200";"Motif3_200";"Moti1_raw";"Moti2_raw";"Moti3_raw";"Motif4_50";"Motif4_100";"Motif4_200";"Motif4_raw"
"Motif1_50";1;0,419746902076952;0,314522065768659;0,996904970389359;0,998476017310589;0,997517710630573;0,327492875341189;-0,119798964648259;0,338649844040194;-0,119798964648259;0,306965343262287;0,0408814931218123;0,345592570290731;0,447707603033964;0,998191193331504;0,999354425723092
"Motif2_50";0,419746902076952;1;0,281499846482523;0,409122508227634;0,405933462463846;0,331482559283219;0,24251011711368;0,249773416739335;0,210843337165963;0,249773416739335;0,213666051593779;0,0449206743997498;0,995462259968292;0,994444221024504;0,408303127762877;0,410867041624737
"Motif3_50";0,314522065768659;0,281499846482523;1;0,345339305963513;0,290881352396016;0,274224229987259;0,233519297013824;0,331457463011423;0,46532907853728;0,331457463011423;0,16583651168393;0,44547823925827;0,2445482682426;0,565423737375091;0,341793247858021;0,299908337094864
"Motif1_100";0,996904970389359;0,409122508227634;0,345339305963513;1;0,998545159573892;0,997876144662543;0,524177113567307;-0,0562955387834116;0,173439866923493;-0,0562955387834116;0,245870650002736;0,0983146773847872;0,346216172151244;0,35155095169698;0,998386352850565;0,998341830875179
"Motif2_100";0,998476017310589;0,405933462463846;0,290881352396016;0,998545159573892;1;0,998834084617841;0,340456143153545;-0,109293471237891;0,327611857933164;-0,109293471237891;0,303761249252303;0,0246417665504167;0,333869685484881;0,428571428571429;0,999773134716029;0,999670429804849
"Motif3_100";0,997517710630573;0,331482559283219;0,274224229987259;0,997876144662543;0,998834084617841;1;0,49887297934406;0,103906311429466;0,289474845041874;0,103906311429466;0,321624961399643;0,27147400067796;0,19677488501005;0,333592300215372;0,998653645461855;0,998887052766957
"Motif1_200";0,327492875341189;0,24251011711368;0,233519297013824;0,524177113567307;0,340456143153545;0,49887297934406;1;0,273026343508343;0,434864590584478;0,273026343508343;0,603435778166117;0,705497984790827;0,211260337553413;0,225783342168534;0,522735262685118;0,33666053299864
"Motif2_200";-0,119798964648259;0,249773416739335;0,331457463011423;-0,0562955387834116;-0,109293471237891;0,103906311429466;0,273026343508343;1;0,260940580572437;1;0,141157096434163;0,294747228951228;0,324036984389198;0,420278062636902;-0,0658111685530475;-0,114604607814404
"Motif3_200";0,338649844040194;0,210843337165963;0,46532907853728;0,173439866923493;0,327611857933164;0,289474845041874;0,434864590584478;0,260940580572437;1;0,260940580572437;0,472283753220243;0,209325500120088;0,18167794024899;0,326475946524458;0,168699230893691;0,330638684658863
"Moti1_raw";-0,119798964648259;0,249773416739335;0,331457463011423;-0,0562955387834116;-0,109293471237891;0,103906311429466;0,273026343508343;1;0,260940580572437;1;0,141157096434163;0,294747228951228;0,324036984389198;0,420278062636902;-0,0658111685530475;-0,114604607814404
"Moti2_raw";0,306965343262287;0,213666051593779;0,16583651168393;0,245870650002736;0,303761249252303;0,321624961399643;0,603435778166117;0,141157096434163;0,472283753220243;0,141157096434163;1;0,300107950074847;0,367383517498517;0,345399922874943;0,257820293849943;0,306609547291345
"Moti3_raw";0,0408814931218123;0,0449206743997498;0,44547823925827;0,0983146773847872;0,0246417665504167;0,27147400067796;0,705497984790827;0,294747228951228;0,209325500120088;0,294747228951228;0,300107950074847;1;-0,0466873809531082;0,26376100655886;0,0913491498619085;0,0352433253205204
"Motif4_50";0,345592570290731;0,995462259968292;0,2445482682426;0,346216172151244;0,333869685484881;0,19677488501005;0,211260337553413;0,324036984389198;0,18167794024899;0,324036984389198;0,367383517498517;-0,0466873809531082;1;0,99566645679279;0,333490970115849;0,331932892248706
"Motif4_100";0,447707603033964;0,994444221024504;0,565423737375091;0,35155095169698;0,428571428571429;0,333592300215372;0,225783342168534;0,420278062636902;0,326475946524458;0,420278062636902;0,345399922874943;0,26376100655886;0,99566645679279;1;0,349067044129449;0,435433976994015
"Motif4_200";0,998191193331504;0,408303127762877;0,341793247858021;0,998386352850565;0,999773134716029;0,998653645461855;0,522735262685118;-0,0658111685530475;0,168699230893691;-0,0658111685530475;0,257820293849943;0,0913491498619085;0,333490970115849;0,349067044129449;1;0,999413122799414
"Motif4_raw";0,999354425723092;0,410867041624737;0,299908337094864;0,998341830875179;0,999670429804849;0,998887052766957;0,33666053299864;-0,114604607814404;0,330638684658863;-0,114604607814404;0,306609547291345;0,0352433253205204;0,331932892248706;0,435433976994015;0,999413122799414;1
